,xx01zvns2b,xx01zvns2b,xx01zvns2b,a71ev2a,a71ev2a,a71ev2a,d68ev3c,d68ev3c,d68ev3c
,openbind_xx01zvns2b_c2_hit_analogues_85percent,openbind_xx01zvns2b_c2_hit_analogues_90percent,openbind_xx01zvns2b_c2_hit_analogues_95percent,openbind_a71ev2a_c2_hit_analogues_85percent,openbind_a71ev2a_c2_hit_analogues_90percent,openbind_a71ev2a_c2_hit_analogues_95percent,openbind_d68ev3c_c2_hit_analogues_85percent,openbind_d68ev3c_c2_hit_analogues_90percent,openbind_d68ev3c_c2_hit_analogues_95percent
smiles,,,,,,,,,
FC(F)(F)Oc1cccc2c(Cl)ccnc12,True,True,False,False,False,False,False,False,False
Oc1ccnc2c(OCC(F)(F)F)cccc12,True,False,False,False,False,False,False,False,False
FC(F)(F)Oc1ccc2nccc(Cl)c2c1,True,False,False,False,False,False,False,False,False
CN(C)C1CCN(CC(=O)c2c[nH]c3ccccc23)CC1,True,False,False,True,False,False,False,False,False
CCC(C)Nc1nc2ccccc2s1,True,False,False,True,False,False,False,False,False
CCCCc1ccc2nc(N)sc2c1,True,False,False,True,False,False,False,False,False
C=CCNc1nc2ccccc2s1,True,False,False,True,False,False,False,False,False
CCNc1nc2cc(Cl)ccc2s1,True,False,False,True,False,False,False,False,False
COc1cccc2sc(N)nc12,True,True,False,True,True,False,False,False,False
NNc1nc2cc(Cl)ccc2s1,True,False,False,True,False,False,False,False,False
Nc1nc2cc(Cl)ccc2s1,True,False,False,True,False,False,False,False,False
COc1cc2nc(N)sc2cc1OC,True,False,False,True,False,False,False,False,False
CCCCNc1nc2ccc(C)cc2s1,True,False,False,True,False,False,False,False,False
CCc1ccc2nc(N)sc2c1,True,True,False,True,True,False,False,False,False
COc1ccc2nc(N)sc2c1,True,True,True,True,True,True,False,False,False
Cc1ccc2nc(N)sc2c1,True,True,False,True,True,False,False,False,False
