name,gnina_score,gnina_score_min,smina_score_min,min_rmsd,
C46343-P371,4.795,4.700,-4.667,0.331
C46353-P371,4.338,4.168,-4.905,1.452
C13210-P291,3.809,4.196,-5.085,1.217
C64564-P152,4.707,4.688,-5.527,0.599
C51867-P219,3.897,3.968,-5.300,0.875
C43441-P128,4.937,4.953,-5.033,0.545
C60693-P128,4.756,4.761,-5.608,1.284
C60696-P128,5.168,5.154,2.681,0.414
C60700-P128,4.936,4.961,-5.498,0.584
C24948-P137,3.312,3.246,-3.637,2.230
C54664-P384,3.973,4.019,-4.752,1.098
C50895-P339,3.744,3.700,-3.484,0.609
C45615-P339,4.723,4.822,-5.113,0.644
C55223-P339,4.393,4.198,-3.372,0.501
C51875-P363,4.109,4.082,-3.561,1.667
C75223-P136,3.368,3.348,-2.679,2.674
C55392-P183,4.351,4.259,-4.723,0.681
C48157-P405,4.048,3.985,-3.558,1.144
C9559-P391,3.228,3.492,-3.616,1.648
C65388-P220,5.529,5.656,-6.364,0.271
C50814-P220,5.522,5.542,-6.579,0.268
C16362-P220,5.540,5.688,-6.403,0.340
C46023-P225,4.625,4.815,-7.281,0.537
C46024-P225,4.655,4.792,-7.279,0.339
C46025-P225,4.714,4.850,-7.069,0.713
C46033-P225,4.649,4.843,-7.240,0.458
C57129-P481,4.135,4.195,-4.006,1.041
C57137-P481,3.949,3.944,-3.705,1.720
C57140-P481,4.252,4.205,-4.636,1.560
C79212-P220,4.173,3.698,-3.060,3.005
C13210-P271,4.199,4.094,-3.907,1.493
C63652-P229,4.428,4.781,-6.131,1.392
C24948-P174,3.447,3.092,-2.838,1.545
C45815-P469,4.109,4.360,-5.280,0.866
C95588-P135,4.887,4.961,-6.544,0.234
C56176-P71,4.305,3.971,-3.592,0.333
C95867-P543,4.629,4.591,-4.860,0.493
C79259-P174,5.966,5.830,-6.975,1.115
C72495-P174,5.494,5.438,-6.623,0.891
C72496-P174,5.420,5.442,-6.707,1.049
C59884-P322,3.855,3.665,-3.579,4.042
C55138-P204,4.834,4.829,-6.499,0.915
C45792-P497,5.592,5.685,-6.734,0.475
C19322-P22,3.899,4.164,-5.487,2.193
C76028-P273,4.907,5.211,-6.493,0.943
C51396-P274,4.704,4.665,-5.784,0.954
C51403-P274,4.765,4.732,-5.337,1.644
C45982-P244,5.608,5.466,-7.158,0.593
C98152-P58,3.828,3.973,-3.609,0.410
C45884-P374,3.641,3.635,-2.718,4.534
C51427-P384,4.956,4.658,-5.894,0.862
C48037-P492,4.682,4.704,-5.120,0.521
C99430-P339,4.215,4.161,-4.993,2.249
C51749-P174,5.434,5.493,-7.215,0.489
C45982-P401,5.687,5.583,-7.242,1.018
C78052-P22,5.419,5.091,-5.242,1.457
C12359-P239,4.230,4.270,-4.543,1.290
C69744-P182,4.809,4.777,-6.203,0.636
