target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-3-1,reactant-4-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C17150,1,,,,NCCc1nc2ccccc2[nH]1,O=C(O)C1CC1c1c[nH]cn1,O=C(NCCc1nc2ccccc2[nH]1)C1CC1c1c[nH]cn1,Amidation,,,,,,,,,,
C13423,1,,,,O=C(O)c1ccncc1,CNc1nc2c(Cl)cccc2s1,CN(C(=O)c1ccncc1)c1nc2c(Cl)cccc2s1,Amidation,,,,,,,,,,
C5783,1,,,,OCCNc1ccccn1,Nc1ccc2cccc(Cl)c2n1,Clc1cccc2ccc(NCCNc3ccccn3)nc12,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,,
C114282,1,,,,O=C(O)C1CCCNC1,NCC1CCCC(=O)N1,O=C1CCCC(CNC(=O)C2CCCNC2)N1,Amidation,,,,,,,,,,
C57127,1,,,,O=C(O)C(=O)NCc1nnc2ccccn12,CCc1csc(N)n1,CCc1csc(NC(=O)C(=O)NCc2nnc3ccccn23)n1,Amidation,,,,,,,,,,
C114937,1,,,,NCCc1cccs1,CC(=O)CCCc1cccnc1,CC(CCCc1cccnc1)NCCc1cccs1,Reductive_amination,,,,,,,,,,
C7556,1,,,,N,Clc1ncc(CSc2ncnc3ccccc23)s1,Nc1ncc(CSc2ncnc3ccccc23)s1,N-nucleophilic_aromatic_substitution,,,,,,,,,,
C4737,1,,,,c1c[nH]c(C2CCCCN2)n1,OCc1cnn2c1CNCC2,c1c[nH]c(C2CCCCN2Cc2cnn3c2CNCC3)n1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,,
C5045,1,,,,O=C(O)CCc1c[nH]cn1,CCC(CC)NC(=O)CN1CCC(N)CC1,CCC(CC)NC(=O)CN1CCC(NC(=O)CCc2c[nH]cn2)CC1,Amidation,,,,,,,,,,
C13857,1,,,,OB(O)c1ncc[nH]1,O=CCO,OCC(NCc1ccnc2c(Br)cccc12)c1ncc[nH]1,Petasis-borono_Mannich_reaction,,,NCc1ccnc2c(Br)cccc12,,,,,,,
C10062,1,,,,O=C(O)CCC(=O)c1ccncc1,NC1CCCN(c2ncccn2)C1,O=C(CCC(=O)c1ccncc1)NC1CCCN(c2ncccn2)C1,Amidation,,,,,,,,,,
C4958,1,,,,O=C(O)Cc1cccc2cccnc12,CC(C)C(=O)N1CC2C(CN)C2C1,CC(C)C(=O)N1CC2C(CNC(=O)Cc3cccc4cccnc34)C2C1,Amidation,,,,,,,,,,
C56830,1,,,,CN1C(=O)CCCC1C(=O)O,CC(O)c1nc2ccccc2[nH]1,CC(OC(=O)C1CCCC(=O)N1C)c1nc2ccccc2[nH]1,Steglich_esterification,,,,,,,,,,
C56123,1,,,,O=C(O)CCc1ncc[nH]1,CC(C)CC(CN)NC(=O)c1cn[nH]c1,CC(C)CC(CNC(=O)CCc1ncc[nH]1)NC(=O)c1cn[nH]c1,Amidation,,,,,,,,,,
C7584,1,,,,O=C1CC2NCCC2N1Cc1cncs1,Brc1ncc2ccccc2n1,O=C1CC2C(CCN2c2ncc3ccccc3n2)N1Cc1cncs1,N-nucleophilic_aromatic_substitution,,,,,,,,,,
C7519,1,,,,OCc1cncs1,O=C(O)COc1ncnc2ccccc12,O=C(COc1ncnc2ccccc12)OCc1cncs1,Steglich_esterification,,,,,,,,,,
C2694,1,,,,Nc1ccnn1C1CCCC1,NNC(=O)c1cccc2cccnc12,O=C(NNC(=O)c1cccc2cccnc12)Nc1ccnn1C1CCCC1,Formation_of_urea_from_two_amines,,,,,,,,,,
C10065,1,,,,c1cc(C2CCCNCC2)ccn1,O=C(O)CCc1cncnc1,O=C(CCc1cncnc1)N1CCCC(c2ccncc2)CC1,Amidation,,,,,,,,,,
C116294,1,,,,Nc1ccccc1Cn1ccnc1,CC(O)C(=O)O,CC(O)C(=O)Nc1ccccc1Cn1ccnc1,Amidation,,,,,,,,,,
C111696,1,,,,c1c[nH]c(C2CCCNC2)n1,NC(=O)C(O)(CBr)c1ccccc1,NC(=O)C(O)(CN1CCCC(c2ncc[nH]2)C1)c1ccccc1,Amine_alkylation,,,,,,,,,,
C114112,1,,,,c1n[nH]cc1C1CNCCN1,Cn1cnc(Br)cc1=O,Cn1cnc(N2CCNC(c3cn[nH]c3)C2)cc1=O,N-nucleophilic_aromatic_substitution,,,,,,,,,,
C14145,1,,,,OCc1cscn1,CC(N)C(C)NC(=O)c1ccnn1C1CCCC1,CC(NCc1cscn1)C(C)NC(=O)c1ccnn1C1CCCC1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,,,,,,,,,
C56919,1,,,,NCc1nccc2ccccc12,Clc1ncc(C2CCOC2)s1,c1ccc2c(CNc3ncc(C4CCOC4)s3)nccc2c1,N-nucleophilic_aromatic_substitution,,,,,,,,,,
